Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_5955,0.571428571,0.285714286,-0.660513,-0.730393324,0.069880324,,
str_6077,0.285714286,0.428571429,-0.299304,-0.28276261,0.01654139,,
str_6353,0,0.714285714,-0.809638,-0.883707938,0.074069938,,
str_6515,1,0.142857143,-0.688502,-0.642770949,0.045731051,,
str_6525,1,0.285714286,-0.409558,-0.381827,0.027731,,
str_6528,0.714285714,0.285714286,-0.804199,-0.890766415,0.086567415,,
str_6554,0.714285714,0.428571429,-0.878955,-0.864208277,0.014746723,,
str_6624,0.285714286,0.714285714,-0.922837,-0.831532864,0.091304136,,
str_6626,0.428571429,0.714285714,-0.614111,-0.659132883,0.045021883,,
str_6638,0.571428571,0.714285714,-0.305386,-0.349104,0.043718,,
str_11156,0.375,0.75,-0.696989,-0.632866118,0.064122882,,
str_11270,0,0.125,-0.273399,-0.267802405,0.005596595,,
str_11348,0.125,0.125,-0.227161,-0.222303,0.004858,,
str_11504,0.25,0.125,-0.207315,-0.270282,0.062967,,
str_11519,0.125,0.25,-0.35844,-0.375136,0.016696,,
str_12625,0.125,0.375,-0.713405,-0.725059886,0.011654886,,
str_15898,0,0.375,-0.535637,-0.472456,0.063181,,
str_16988,0,0.5,-0.705845,-0.612915,0.09293,,
str_16992,0,0.625,-0.67092,-0.672618,0.001698,,
str_17152,0.375,0.25,-0.42088,-0.450902,0.030022,,
str_17214,0.125,0.5,-0.469998,-0.468642152,0.001355848,,
str_17983,0.25,0.5,-0.679109,-0.596208,0.082901,,
str_18031,0.25,0.375,-0.528432,-0.550991,0.022559,,
str_19654,0.625,0.5,-0.609571,-0.528084,0.081487,,
str_19699,0.75,0.5,-0.265075,-0.298785836,0.033710836,,
str_19954,1,0.125,-0.79836,-0.722778367,0.075581633,,
str_20125,0.125,0,-0.106201,-0.066808,0.039393,,
str_20128,0.25,0,-0.228241,-0.130896,0.097345,,
str_20140,0.375,0,-0.350281,-0.340054288,0.010226712,,
str_20557,0.375,0.125,-0.241197,-0.317861,0.076664,,
str_21110,0.625,0,-0.432599,-0.364354644,0.068244356,,
str_21122,0.75,0,-0.7164,-0.707317122,0.009082878,,
str_21820,0.5,0.125,-0.373237,-0.370498,0.002739,,
str_22010,0.5,0.25,-0.551904,-0.47626,0.075644,,
str_23492,0.625,0.125,-0.466802,-0.416356,0.050446,,
str_23604,0.875,0,-0.83844,-0.793486337,0.044953663,,
str_24025,0.375,0.375,-0.527371,-0.523048,0.004323,,
str_25413,0.75,0.125,-0.750595,-0.77705884,0.02646384,,
str_25757,0.125,0.625,-0.75815,-0.756160511,0.001989489,,
str_25829,0.625,0.25,-0.613632,-0.519924,0.093708,,
str_25830,0.5,0.375,-0.715958,-0.701097881,0.014860119,,
str_25840,0.375,0.5,-0.75397,-0.775721684,0.021751684,,
str_25874,0.25,0.625,-0.865574,-0.933226487,0.067652487,,
str_25993,0,0.875,-1.36684,-1.332258446,0.034581554,,
str_27475,0.875,0.125,-0.908952,-0.844716118,0.064235882,,
str_27530,0.625,0.375,-0.556013,-0.558098,0.002085,,
str_27685,0.375,0.625,-0.731371,-0.747987119,0.016616119,,
str_28014,0.125,0.875,-1.44239,-1.438209038,0.004180962,,
str_31053,0.75,0.375,-0.87456,-0.896716796,0.022156796,,
str_32044,0.875,0.25,-0.81179,-0.729290972,0.082499028,,
str_32063,0.875,0.375,-0.649594,-0.695583585,0.045989585,,
str_32217,1,0.25,-0.590002,-0.666205314,0.076203314,,
str_32396,1,0.375,-0.120756,-0.070605022,0.050150978,,
str_32419,0.5,0.75,-0.538248,-0.463828873,0.074419127,,
