Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_5860,0.428571429,0.285714286,-0.610172,-0.646168,0.035996,,
str_5890,0.714285714,0,-0.377462,-0.292542,0.08492,,
str_5926,0.857142857,0.285714286,-0.793737,-0.791878776,0.001858224,,
str_5955,0.571428571,0.285714286,-0.688699,-0.774898037,0.086199037,,
str_6077,0.285714286,0.428571429,-0.466246,-0.470468731,0.004222731,,
str_6353,0,0.714285714,-0.892899,-0.880750664,0.012148336,,
str_6515,1,0.142857143,-0.737759,-0.731152134,0.006606866,,
str_6525,1,0.285714286,-0.509779,-0.419434,0.090345,,
str_6528,0.714285714,0.285714286,-0.767218,-0.720779184,0.046438816,,
str_6554,0.714285714,0.428571429,-0.81614,-0.843784309,0.027644309,,
str_6611,0.571428571,0.714285714,-1.0381,-1.137336504,0.099236504,,
str_6624,0.285714286,0.714285714,-0.883298,-0.917674433,0.034376433,,
str_6626,0.428571429,0.714285714,-0.585493,-0.513905,0.071588,,
str_11156,0.375,0.75,-0.755875,-0.706990879,0.048884121,,
str_11270,0,0.125,-0.347079,-0.39539062,0.04831162,,
str_11348,0.125,0.125,-0.109,-0.157963381,0.048963381,,
str_11504,0.25,0.125,-0.0609955,-0.067170228,0.006174728,,
str_11519,0.125,0.25,-0.40068,-0.38962,0.01106,,
str_15648,0.625,0.625,-0.460154,-0.467228,0.007074,,
str_16988,0,0.5,-0.688162,-0.631487,0.056675,,
str_16992,0,0.625,-0.77412,-0.6958,0.07832,,
str_17152,0.375,0.25,-0.444761,-0.466293,0.021532,,
str_17214,0.125,0.5,-0.590395,-0.625593,0.035198,,
str_17983,0.25,0.5,-0.710554,-0.618629,0.091925,,
str_18031,0.25,0.375,-0.451161,-0.458255968,0.007094968,,
str_19654,0.625,0.5,-0.679651,-0.668637501,0.011013499,,
str_19699,0.75,0.5,-0.34772,-0.30294717,0.04477283,,
str_19954,1,0.125,-0.86052,-0.822757168,0.037762832,,
str_20064,0.75,0.625,-0.0952416,-0.12031756,0.02507596,,
str_20125,0.125,0,-0.274682,-0.262199593,0.012482407,,
str_20173,0.25,0,-0.169678,-0.134983,0.034695,,
str_20176,0.375,0,-0.254758,-0.195315,0.059443,,
str_20557,0.375,0.125,-0.427032,-0.330585,0.096447,,
str_21110,0.625,0,-0.424918,-0.503993428,0.079075428,,
str_21122,0.75,0,-0.70008,-0.730236401,0.030156401,,
str_21820,0.5,0.125,-0.512112,-0.485106329,0.027005671,,
str_22010,0.5,0.25,-0.710544,-0.658878971,0.051665029,,
str_23492,0.625,0.125,-0.521117,-0.435268,0.085849,,
str_23604,0.875,0,-0.78516,-0.693822427,0.091337573,,
str_23638,0.375,0.375,-0.579355,-0.546943,0.032412,,
str_25413,0.75,0.125,-0.796272,-0.887491659,0.091219659,,
str_25757,0.125,0.625,-0.835354,-0.839585523,0.004231523,,
str_25829,0.625,0.25,-0.719549,-0.711867187,0.007681813,,
str_25830,0.5,0.375,-0.760363,-0.828497673,0.068134673,,
str_25840,0.375,0.5,-0.804768,-0.746507099,0.058260901,,
str_25874,0.25,0.625,-0.861653,-0.914097902,0.052444902,,
str_25990,0.125,0.75,-1.27028,-1.236220132,0.034059868,,
str_25993,0,0.875,-1.42604,-1.507292549,0.081252549,,
str_27475,0.875,0.125,-0.895032,-0.797482192,0.097549808,,
str_27530,0.625,0.375,-0.57697,-0.58916,0.01219,,
str_27685,0.375,0.625,-0.73393,-0.655244,0.078686,,
str_27686,0.5,0.625,-0.491962,-0.460338246,0.031623754,,
str_28014,0.125,0.875,-1.45231,-1.42050017,0.03180983,,
str_29316,0,0.375,-0.657562,-0.637199815,0.020362185,,
str_29359,0.125,0.375,-0.776549,-0.746577233,0.029971767,,
str_31053,0.75,0.375,-0.873883,-0.829715873,0.044167127,,
str_32044,0.875,0.25,-0.92627,-0.948122979,0.021852979,,
str_32063,0.875,0.375,-0.775277,-0.709901048,0.065375952,,
str_32217,1,0.25,-0.699758,-0.743073726,0.043315726,,
str_32396,1,0.375,-0.362836,-0.380845,0.018009,,
str_32419,0.5,0.75,-0.520325,-0.532497093,0.012172093,,
