Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_5901,0.857142857,0,-0.715743,-0.699919211,0.015823789,,
str_5926,0.857142857,0.285714286,-0.720938,-0.614360085,0.106577915,,
str_5955,0.571428571,0.285714286,-0.783775,-0.845331022,0.061556022,,
str_6077,0.285714286,0.428571429,-0.47145,-0.446971226,0.024478774,,
str_6515,1,0.142857143,-0.84076,-0.835466708,0.005293292,,
str_6525,1,0.285714286,-0.389019,-0.500305,0.111286,,
str_6528,0.714285714,0.285714286,-0.955101,-0.919517154,0.035583846,,
str_6554,0.714285714,0.428571429,-0.749536,-0.663591011,0.085944989,,
str_6624,0.285714286,0.714285714,-1.01402,-0.946320985,0.067699015,,
str_6626,0.428571429,0.714285714,-0.732858,-0.70245581,0.03040219,,
str_6638,0.571428571,0.714285714,-0.451689,-0.508203,0.056514,,
str_11270,0,0.125,-0.37012,-0.380995482,0.010875482,,
str_11348,0.125,0.125,-0.265203,-0.260082,0.005121,,
str_11504,0.25,0.125,-0.310675,-0.313501,0.002826,,
str_11519,0.125,0.25,-0.62424,-0.607281145,0.016958855,,
str_16988,0,0.5,-0.663682,-0.700571,0.036889,,
str_16992,0,0.625,-0.77988,-0.773612,0.006268,,
str_17152,0.375,0.25,-0.636998,-0.63710773,0.00010973,,
str_17214,0.125,0.5,-0.649714,-0.69557,0.045856,,
str_17983,0.25,0.5,-0.833832,-0.826708721,0.007123279,,
str_18031,0.25,0.375,-0.630691,-0.63044,0.000251,,
str_19654,0.625,0.5,-0.929213,-0.865100886,0.064112114,,
str_19699,0.75,0.5,-0.427315,-0.413423093,0.013891907,,
str_19954,1,0.125,-1.0822,-1.005982189,0.076217811,,
str_20125,0.125,0,-0.142642,-0.072175,0.070467,,
str_20173,0.25,0,-0.105278,-0.142524,0.037246,,
str_20176,0.375,0,-0.244718,-0.207228,0.03749,,
str_20557,0.375,0.125,-0.217562,-0.280804012,0.063242012,,
str_21110,0.625,0,-0.523598,-0.583476068,0.059878068,,
str_21122,0.75,0,-0.839842,-0.931515717,0.091673717,,
str_21820,0.5,0.125,-0.349561,-0.425496,0.075935,,
str_22010,0.5,0.25,-0.40247,-0.442199179,0.039729179,,
str_23492,0.625,0.125,-0.446765,-0.478506,0.031741,,
str_23604,0.875,0,-0.979282,-1.047500588,0.068218588,,
str_23638,0.375,0.375,-0.613474,-0.615901,0.002427,,
str_25413,0.75,0.125,-0.763003,-0.829742983,0.066739983,,
str_25757,0.125,0.625,-0.850349,-0.76154,0.088809,,
str_25829,0.625,0.25,-0.434716,-0.381151946,0.053564054,,
str_25830,0.5,0.375,-0.731237,-0.664231,0.067006,,
str_25840,0.375,0.5,-0.971928,-0.96363403,0.00829397,,
str_25874,0.25,0.625,-1.02325,-1.046913302,0.023663302,,
str_25993,0,0.875,-1.71932,-1.757850481,0.038530481,,
str_27475,0.875,0.125,-1.10892,-1.100182819,0.008737181,,
str_27482,0.875,0.25,-0.671592,-0.5619,0.109692,,
str_27530,0.625,0.375,-0.81133,-0.71386868,0.09746132,,
str_27685,0.375,0.625,-0.947405,-0.891944074,0.055460926,,
str_28006,0.375,0.75,-0.746813,-0.68941,0.057403,,
str_28014,0.125,0.875,-1.82723,-1.843467232,0.016237232,,
str_29316,0,0.375,-0.809078,-0.898701865,0.089623865,,
str_29359,0.125,0.375,-0.828067,-0.827211039,0.000855961,,
str_31053,0.75,0.375,-0.880402,-0.803474093,0.076927907,,
str_32063,0.875,0.375,-0.759715,-0.767047097,0.007332097,,
str_32217,1,0.25,-0.661517,-0.56532608,0.09619092,,
str_32396,1,0.375,-0.206275,-0.237646291,0.031371291,,
str_32419,0.5,0.75,-0.577445,-0.523749,0.053696,,
